"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","557","Attempt to create user with email: gmail.com","LMS service","Sun Mar 15 18:37:07 UTC 2026","passed","Sun Mar 15 18:37:07 UTC 2026","Create entity","Users","",""
"","13","Get user me","LMS service","Sun Mar 15 18:37:08 UTC 2026","passed","Sun Mar 15 18:37:08 UTC 2026","Get entity","Users","",""
"","267","Create file with empty directory","LMS service","Sun Mar 15 18:37:06 UTC 2026","passed","Sun Mar 15 18:37:06 UTC 2026","Validate entity","Files","",""
"","271","Get file with incorrect file id","LMS service","Sun Mar 15 18:37:06 UTC 2026","passed","Sun Mar 15 18:37:07 UTC 2026","Validate entity","Files","",""
"","289","Delete exercise","LMS service","Sun Mar 15 18:37:02 UTC 2026","passed","Sun Mar 15 18:37:03 UTC 2026","Delete entity","Exercises","",""
"","293","Update exercise","LMS service","Sun Mar 15 18:37:01 UTC 2026","passed","Sun Mar 15 18:37:01 UTC 2026","Update entity","Exercises","",""
"","29","Create course","LMS service","Sun Mar 15 18:37:00 UTC 2026","passed","Sun Mar 15 18:37:00 UTC 2026","Create entity","Courses","",""
"","301","Get courses","LMS service","Sun Mar 15 18:36:59 UTC 2026","passed","Sun Mar 15 18:36:59 UTC 2026","Get entities","Courses","",""
"","268","Create file","LMS service","Sun Mar 15 18:37:03 UTC 2026","passed","Sun Mar 15 18:37:04 UTC 2026","Create entity","Files","",""
"","268","Create file with empty filename","LMS service","Sun Mar 15 18:37:05 UTC 2026","passed","Sun Mar 15 18:37:05 UTC 2026","Validate entity","Files","",""
"","290","Attempt to create user with email: example.com","LMS service","Sun Mar 15 18:37:07 UTC 2026","passed","Sun Mar 15 18:37:07 UTC 2026","Create entity","Users","",""
"","308","Update course","LMS service","Sun Mar 15 18:36:59 UTC 2026","passed","Sun Mar 15 18:36:59 UTC 2026","Update entity","Courses","",""
"","51","Get exercise","LMS service","Sun Mar 15 18:37:02 UTC 2026","passed","Sun Mar 15 18:37:02 UTC 2026","Get entity","Exercises","",""
"","286","Login with correct email and password","LMS service","Sun Mar 15 18:36:58 UTC 2026","passed","Sun Mar 15 18:36:58 UTC 2026","Login","Authentication","",""
"","24","Delete file","LMS service","Sun Mar 15 18:37:05 UTC 2026","passed","Sun Mar 15 18:37:05 UTC 2026","Delete entity","Files","",""
"","28","Create exercise","LMS service","Sun Mar 15 18:37:01 UTC 2026","passed","Sun Mar 15 18:37:01 UTC 2026","Create entity","Exercises","",""
"","18","Get file","LMS service","Sun Mar 15 18:37:04 UTC 2026","passed","Sun Mar 15 18:37:04 UTC 2026","Get entity","Files","",""
"","18","Get exercises","LMS service","Sun Mar 15 18:37:03 UTC 2026","passed","Sun Mar 15 18:37:03 UTC 2026","Get entities","Exercises","",""
"","552","Attempt to create user with email: mail.ru","LMS service","Sun Mar 15 18:37:06 UTC 2026","passed","Sun Mar 15 18:37:07 UTC 2026","Create entity","Users","",""
